city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,8
sj,2008,20,9
sj,2008,21,9
sj,2008,22,9
sj,2008,23,11
sj,2008,24,12
sj,2008,25,13
sj,2008,26,14
sj,2008,27,15
sj,2008,28,16
sj,2008,29,17
sj,2008,30,19
sj,2008,31,20
sj,2008,32,23
sj,2008,33,25
sj,2008,34,27
sj,2008,35,29
sj,2008,36,31
sj,2008,37,33
sj,2008,38,35
sj,2008,39,36
sj,2008,40,38
sj,2008,41,39
sj,2008,42,39
sj,2008,43,39
sj,2008,44,38
sj,2008,45,37
sj,2008,46,36
sj,2008,47,34
sj,2008,48,32
sj,2008,49,27
sj,2008,50,26
sj,2008,51,26
sj,2008,52,24
sj,2009,1,22
sj,2009,2,22
sj,2009,3,22
sj,2009,4,21
sj,2009,5,20
sj,2009,6,19
sj,2009,7,17
sj,2009,8,16
sj,2009,9,15
sj,2009,10,13
sj,2009,11,13
sj,2009,12,12
sj,2009,13,10
sj,2009,14,10
sj,2009,15,8
sj,2009,16,8
sj,2009,17,8
sj,2009,18,8
sj,2009,19,8
sj,2009,20,8
sj,2009,21,9
sj,2009,22,11
sj,2009,23,11
sj,2009,24,12
sj,2009,25,13
sj,2009,26,13
sj,2009,27,15
sj,2009,28,16
sj,2009,29,18
sj,2009,30,19
sj,2009,31,21
sj,2009,32,23
sj,2009,33,25
sj,2009,34,27
sj,2009,35,29
sj,2009,36,31
sj,2009,37,33
sj,2009,38,35
sj,2009,39,36
sj,2009,40,38
sj,2009,41,39
sj,2009,42,39
sj,2009,43,39
sj,2009,44,38
sj,2009,45,37
sj,2009,46,36
sj,2009,47,35
sj,2009,48,33
sj,2009,49,30
sj,2009,50,28
sj,2009,51,27
sj,2009,52,25
sj,2010,53,22
sj,2010,1,23
sj,2010,2,22
sj,2010,3,22
sj,2010,4,21
sj,2010,5,19
sj,2010,6,19
sj,2010,7,18
sj,2010,8,17
sj,2010,9,16
sj,2010,10,14
sj,2010,11,12
sj,2010,12,12
sj,2010,13,10
sj,2010,14,9
sj,2010,15,8
sj,2010,16,8
sj,2010,17,10
sj,2010,18,10
sj,2010,19,9
sj,2010,20,10
sj,2010,21,11
sj,2010,22,13
sj,2010,23,13
sj,2010,24,13
sj,2010,25,14
sj,2010,26,15
sj,2010,27,16
sj,2010,28,17
sj,2010,29,18
sj,2010,30,19
sj,2010,31,21
sj,2010,32,23
sj,2010,33,25
sj,2010,34,27
sj,2010,35,29
sj,2010,36,31
sj,2010,37,33
sj,2010,38,35
sj,2010,39,37
sj,2010,40,38
sj,2010,41,38
sj,2010,42,39
sj,2010,43,39
sj,2010,44,38
sj,2010,45,37
sj,2010,46,35
sj,2010,47,31
sj,2010,48,29
sj,2010,49,25
sj,2010,50,28
sj,2010,51,26
sj,2011,52,22
sj,2011,1,22
sj,2011,2,22
sj,2011,3,22
sj,2011,4,21
sj,2011,5,20
sj,2011,6,19
sj,2011,7,18
sj,2011,8,16
sj,2011,9,15
sj,2011,10,14
sj,2011,11,13
sj,2011,12,11
sj,2011,13,10
sj,2011,14,9
sj,2011,15,8
sj,2011,16,8
sj,2011,17,8
sj,2011,18,8
sj,2011,19,8
sj,2011,20,9
sj,2011,21,10
sj,2011,22,12
sj,2011,23,12
sj,2011,24,14
sj,2011,25,14
sj,2011,26,15
sj,2011,27,16
sj,2011,28,17
sj,2011,29,18
sj,2011,30,19
sj,2011,31,21
sj,2011,32,23
sj,2011,33,25
sj,2011,34,27
sj,2011,35,29
sj,2011,36,31
sj,2011,37,33
sj,2011,38,35
sj,2011,39,37
sj,2011,40,38
sj,2011,41,39
sj,2011,42,39
sj,2011,43,38
sj,2011,44,38
sj,2011,45,37
sj,2011,46,36
sj,2011,47,34
sj,2011,48,32
sj,2011,49,29
sj,2011,50,28
sj,2011,51,25
sj,2012,52,22
sj,2012,1,23
sj,2012,2,22
sj,2012,3,21
sj,2012,4,21
sj,2012,5,19
sj,2012,6,19
sj,2012,7,18
sj,2012,8,16
sj,2012,9,15
sj,2012,10,14
sj,2012,11,12
sj,2012,12,11
sj,2012,13,10
sj,2012,14,9
sj,2012,15,8
sj,2012,16,8
sj,2012,17,8
sj,2012,18,8
sj,2012,19,8
sj,2012,20,10
sj,2012,21,10
sj,2012,22,10
sj,2012,23,12
sj,2012,24,12
sj,2012,25,13
sj,2012,26,14
sj,2012,27,15
sj,2012,28,16
sj,2012,29,18
sj,2012,30,19
sj,2012,31,21
sj,2012,32,23
sj,2012,33,25
sj,2012,34,27
sj,2012,35,29
sj,2012,36,31
sj,2012,37,33
sj,2012,38,35
sj,2012,39,36
sj,2012,40,38
sj,2012,41,39
sj,2012,42,39
sj,2012,43,39
sj,2012,44,38
sj,2012,45,37
sj,2012,46,36
sj,2012,47,35
sj,2012,48,32
sj,2012,49,30
sj,2012,50,27
sj,2012,51,26
sj,2013,1,23
sj,2013,2,22
sj,2013,3,21
sj,2013,4,21
sj,2013,5,20
sj,2013,6,19
sj,2013,7,17
sj,2013,8,16
sj,2013,9,15
sj,2013,10,13
sj,2013,11,13
sj,2013,12,12
sj,2013,13,10
sj,2013,14,9
